url,label
https://www.drive.google.com,0
www.gmail.google.com,0
http://facebook.com,0
https://yahoo.com,0
001web.net,1
005mall.com,1
0dese-mi.com,1
0j9.ru,1
0l6.ru,1
0o3lsk3g.biz,1
0p7.ru,1
0s7.ru,1
0s8.ru,1
0w7.ru,1
0yq.ru,1
0yr.ru,1
0yw.ru,1
0zw.ru,1
100cigs.com,1
107.21.18.76,1
108.167.136.143,1
108.167.155.37,1
108.178.59.6,1
108.60.141.41,1
109.235.148.137,1
konin-todoke.com,0
kupiskidku.com,0
postallads4free.com,0
easyvols.fr,0
youtrend.it,0
lamabpo.lt,0
dekorat-reda.pl,0
bridecity.ru,0
allied-associates.co.uk,0
lidl-kochzauber.de,0
airitaly.it,0
racefans.ru,0
kiss.ac,0
afence.com,0
katiebrown.com,0
rosasensat.org,0
hostease.com,0
syd369.com,0
lansi-uusimaa.fi,0
bancheimprese.it,0
mkarapuz.com.ua,0
amitinfoservice.com,0
ebkxsvansudkoq.click/upload/_dispatch.php,1
mphtadhci5mrdlju.onion.to/,1
mphtadhci5mrdlju.tor2web.org/,1
178.78.87.8/spyra2,1
300tomoli.it/39w23pk,1
51939812.de.strato-hosting.eu/o8n8b,1
83.235.64.44/~typecent/roed9,1
aberfoyledental.ca/97q0eu,1
alexiedb.home.ro/zrb7z,1
adsnight.com/page8r,1
blanquerna.eresmas.net/z5yvl,1
bbvogliadimare.it/4vrl8j,1
callatisinstitut.fr/fytdty8o,1
desres.net/881ux1p,1
ebnmp.com/htxmd,1
exclusive-closet.com/wqcs8fk,1
edelweiss-secretariat.com/jiojyvrf,1
flaglerpower.com/dft1ryn7,1
fabricbuild.com/jiq6jv,1
ilbalconcino2011.it/2st9pai8,1
idd00dnu.eresmas.net/sz7o77m,1
lerens.com/9i9gk7,1
sfabinc.com/advvll,1
seroca.com/8f72pw,1
sichenia.omniadvert.it/7xxsn8,1
shintyaku.ame-zaiku.com/zjg39kpn,1
strstudio.pl/iloss7m,1
sturminvestigations.com/9dg4z9,1
uitindrachten.nl/a55fgn8,1
tabskillersmachine.com/ajn1lz,1
www.digi9.in/vx9x9,1
vanmeerendonk.eu/lbkzg,1
www.guapaweb.jazztel.es/o54b6,1
www.rgtalp14.it/jsao6f,1
www.italius.com/ph18xm0,1
zckupila.republika.pl/xr1zutd,1
www.vedasrestaurant.com/tv3mmzc,1
5.187.0.137/upload/_dispatch.php,1
77.222.54.202/upload/_dispatch.php,1
185.118.66.83/upload/_dispatch.php,1
176.111.63.51/upload/_dispatch.php,1
185.5.250.135/upload/_dispatch.php,1
bgwgoeisyddemxgmy.work/upload/_dispatch.php,1
jbrktqnxklmuf.info/upload/_dispatch.php,1
louisvuittonoutletbox.com,0
doodle.ch,0
majorityrights.com,0
l2native.eu,0
costsofwar.org,0
jezykangielski.org,0
capbreton-tourisme.com,0
tadalafil-20mgbuy.mobi,0
cjspl.com,0
apopo.org,0
mitsumi.com,0
wbu.edu,0
amazonrobotics.com,0
seedstarsworld.com,0
forests.org,0
umuzi.org,0
ristopizzajunior.pl,0
6ie6.com,0
joehewitt.com,0
openbuildings.com,0
iho.int,0
firstscience.com,0
shotblogs.com,0
3sat.de,0
nexusmods.com,0
bbcamerica.com,0
uoc.edu,0
xilinx.com,0
interviewmagazine.com,0
douyu.com,0
bigfishgames.com,0
denic.de,0
miaopai.com,0
asda.com,0
jevents.net,0
fancy.com,0
parisinfo.com,0
niedersachsen.de,0
guns.ru,0
template-help.com,0
isaca.org,0
urgent-essay.com,0
weblogs.com,0
juiciooral.mx,0
kataweb.it,0
design-milk.com,0
holland.com,0
cftc.gov,0
geograph.org.uk,0
theledger.com,0
nrc.gov,0
kubik-rubik.de,0
googleplus.com,0
stuttgarter-zeitung.de,0
zcool.com.cn,0
fanniemae.com,0
trib.com,0
bbk.ac.uk,0
groundreport.com,0
uvigo.es,0
network54.com,0
guardianlv.com,0
isohunt.com,0
news4jax.com,0
howard.edu,0
phplist.com,0
washtimes.com,0
cialisvipsale.com,0
cakephp.org,0
gosuslugi.ru,0
boody.ru,0
natgeotv.com,0
chick-fil-a.com,0
chubb.com,0
hemmings.com,0
globalfarmerssolutions.com,0
triplepundit.com,0
aflcio.org,0
publicdomainpictures.net,0
caixa.gov.br,0
convinceandconvert.com,0
gvsu.edu,0
waitbutwhy.com,0
ipernity.com,0
tinkercad.com,0
ul.to,0
realtown.com,0
prb.org,0
66wz.com,0
freddiemac.com,0
alibris.com,0
openload.co,0
solidworks.com,0
tinypng.com,0
ferragamo.com,0
mmu.ac.uk,0
marketingcharts.com,0
w3techs.com,0
thehollywoodgossip.com,0
zipcar.com,0
skepticalscience.com,0
firstcoastnews.com,0
chegg.com,0
bligoo.com,0
twit.tv,0
accaglobal.com,0
red-bean.com,0
guttmacher.org,0
petco.com,0
transip.nl,0
kaercher.com,0
skepdic.com,0
unitn.it,0
kyoto.jp,0
salford.ac.uk,0
720yun.com,0
wechat.com,0
jci.org,0
uni-kassel.de,0
opensource.com,0
doctissimo.fr,0
privacymark.jp,0
cyclingnews.com,0
yaplakal.com,0
redcrossblood.org,0
mb.com.ph,0
netdoctor.co.uk,0
cnpc.com.cn,0
modernmedicine.com,0
jiaodong.net,0
online-casino.party,0
correios.com.br,0
catholicnewsagency.com,0
challenges.fr,0
allyes.com,0
gonzaga.edu,0
oaic.gov.au,0
business-opportunities.biz,0
sut.ac.th,0
darwinawards.com,0
rubyforge.org,0
vpro.nl,0
journalnow.com,0
glitter-graphics.com,0
vuze.com,0
itgo.com,0
jetro.go.jp,0
failblog.org,0
momtastic.com,0
telecinco.es,0
panynj.gov,0
rikunabi.com,0
easycounter.com,0
wordpress-fr.net,0
hanselman.com,0
233.com,0
angrybirds.com,0
makeagif.com,0
idownloadblog.com,0
taiwan.cn,0
barcelo.com,0
kfor.com,0
virgin-atlantic.com,0
kurzweilai.net,0
uuu9.com,0
arborday.org,0
omniglot.com,0
kfc.com,0
ma.tt,0
mitsubishielectric.com,0
66law.cn,0
nayana.kr,0
els-cdn.com,0
jetstar.com,0
unice.fr,0
cmswire.com,0
cincopa.com,0
winsupersite.com,0
bowthemes.com,0
enginethemes.com,0
wtfeusa.com,0
bambuser.com,0
xs.to,0
dichan.com,0
bankmitraniaga.co.id,0
datafilehost.com,0
3dprint.com,0
linuxquestions.org,0
remax.com,0
barebones.com,0
sportsnet.ca,0
cancer.ca,0
euweb.cz,0
landsend.com,0
eenews.net,0
kyivpost.com,0
badoo.com,0
cnpq.br,0
gale.com,0
jiangsu.gov.cn,0
ucoz.org,0
blog4ever.com,0
zacks.com,0
amatodemolizioni.it,0
spuntiespuntini.it,0
pantheonsite.io,0
listal.com,0
emyspot.com,0
bafta.org,0
imgbb.com,0
phonegap.com,0
canadianpharmacyinlinestore.com,0
dxy.cn,0
desertsun.com,0
heartbleed.com,0
rp.pl,0
wowhead.com,0
kobe-u.ac.jp,0
naeyc.org,0
videojug.com,0
toscana.it,0
hatenadiary.com,0
atari.com,0
notebookcheck.net,0
noscript.net,0
drive2.ru,0
pepperdine.edu,0
fair.org,0
ju.taobao.com,0
emmys.com,0
bluetooth.com,0
chromeexperiments.com,0
rospotrebnadzor.ru,0
sport-express.ru,0
elpetitpalauet.com,0
golf.com,0
slides.com,0
aceshowbiz.com,0
tropical-gardens-rv-park.com,0
efe.com,0
wellnessmama.com,0
freepress.net,0
slideserve.com,0
sellfy.com,0
consulenzeeservizialleimpreseeaziende.it,0
safekids.org,0
10best.com,0
columbian.com,0
wapo.st,0
whatismyipaddress.com,0
hannovermesse.de,0
zamzar.com,0
shure.com,0
notonthehighstreet.com,0
tradetracker.net,0
twitthis.com,0
ratp.fr,0
uniandes.edu.co,0
deinprovider.de,0
hoover.org,0
debenhams.com,0
digitalriver.com,0
broadway.com,0
synopsys.com,0
hosteurope.de,0
veeam.com,0
gumtree.com.au,0
specialized.com,0
sitew.org,0
jdrf.org,0
usdebtclock.org,0
fitchratings.com,0
wthr.com,0
bundesbank.de,0
mariagraziapiras.com,0
welivesecurity.com,0
pinterest.fr,0
ncu.edu.tw,0
jobui.com,0
thalesgroup.com,0
ut.ee,0
malaysiaairlines.com,0
iii.org,0
datpiff.com,0
orange.es,0
utu.fi,0
viewsonic.com,0
communitywalk.com,0
alstom.com,0
allaboutbirds.org,0
fabricadecasetonelporvenir.com,0
easychair.org,0
duden.de,0
wellesley.edu,0
safe.gov.cn,0
duma.gov.ru,0
lycos.nl,0
neoseeker.com,0
kk.org,0
chiefessays.net,0
marieclaire.co.uk,0
embarcadero.com,0
mapion.co.jp,0
merkur.de,0
safercar.gov,0
forumcircle.com,0
containerstore.com,0
mybb.ru,0
kennesaw.edu,0
brownbook.net,0
irishcentral.com,0
lotour.com,0
fxnetworks.com,0
szse.cn,0
letemps.ch,0
urlr.be,0
acmethemes.com,0
miamidade.gov,0
domain.com.au,0
dvidshub.net,0
house365.com,0
jiemian.com,0
chinaren.com,0
necn.com,0
ourmidland.com,0
startupweekend.org,0
bsh-group.com,0
themalaymailonline.com,0
waseda.jp,0
dnb.com,0
uli.org,0
desktopnexus.com,0
mobility-corp.com,0
healthcareitnews.com,0
thewest.com.au,0
pctools.com,0
chicagorehab.net,0
